id,title,authors,year,journal,doi,official_url,pubmed_url,category,study_type,population,variables,key_findings,limitations,rag_summary,keywords
S05,Heat Stroke,Not available,2023,"StatPearls (NCBI Bookshelf, NIH)",Not available,https://www.ncbi.nlm.nih.gov/books/NBK537135/,Not available,Symptoms & Environmental Conditions,Clinical reference/educational review,N/A (clinical reference),"Body temperature >40°C; CNS dysfunction (confusion, ataxia, delirium, seizures); heat exhaustion vs heat stroke continuum","Heat exhaustion symptoms: cramping, fatigue, dizziness, nausea, vomiting, headache. Heat stroke is distinguished by CNS dysfunction and typically (not always) >40°C body temperature","Educational/reference source, not a primary research study; clinical thresholds are guidelines, not universal cutoffs","Authoritative NIH clinical reference distinguishing heat exhaustion (cramping, fatigue, dizziness, nausea, headache) from heat stroke (CNS dysfunction plus high temperature) — core symptom taxonomy for SwasthyaSathi's risk-tiering logic.",heat stroke; heat exhaustion; CNS dysfunction; clinical reference
S06,Exertional heat stroke: an evidence based approach to clinical assessment and management,Not available,2022,Not available,Not available,https://pubmed.ncbi.nlm.nih.gov/35771080/,https://pubmed.ncbi.nlm.nih.gov/35771080/,Symptoms & Environmental Conditions,Clinical review,N/A (clinical management review),Exertional heat stroke; CNS dysfunction; field cooling; AVPU vital signs assessment,Prompt recognition and aggressive field cooling substantially reduce morbidity/mortality from exertional heat stroke; describes continuum-of-care from field to hospital,"Focused on exertional (physical activity-induced) heat stroke, which may differ mechanistically from classic/passive heat stroke in the elderly","Evidence-based clinical management pathway for exertional heat stroke, useful for structuring SwasthyaSathi's SOS/emergency escalation logic (recognition → field cooling → transport).",exertional heat stroke; field cooling; clinical management; emergency
S07,Exertional Heat Stroke and Rhabdomyolysis: A Medical Record Review and Patient Perspective on Management and Long-Term Symptoms,Nick Kruijt; L. R. van den Bersselaar; M. T. E. Hopman; M. M. J. Snoeck; M. van Rijswick; T. G. H. Wiggers; H. Jungbluth; C. C. W. G. Bongers; N. C. Voermans,2023,Sports Medicine - Open,10.1186/s40798-023-00570-y,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10199157/,Not available,Symptoms & Environmental Conditions,Prospective survey + retrospective medical record review,"60 participants (athletes and military, Netherlands, 2010-2020)",Exertional heat stroke/rhabdomyolysis; prehospital management; long-term (6/12-month) mental health outcomes,Prehospital management was inconsistent with guidelines in the majority of cases; self-reported risk factors included poor heat acclimatization (55%) and peer pressure (28%),"Self-reported survey component subject to recall bias; Netherlands-specific cohort, not necessarily representative of tropical/Indian heat exposure contexts","Real-world evidence that prehospital heat-stroke management is frequently inconsistent with guidelines, and that poor acclimatization is a major modifiable risk factor — supports SwasthyaSathi's acclimatization-aware personalization.",exertional heat stroke; rhabdomyolysis; acclimatization; prehospital management
S08,Heat-Related Illness (Recognition: Heat Exhaustion),Not available,Not available,Centers for Disease Control and Prevention (CDC),Not available,https://www.cdc.gov/nceh/hsb/extreme/Heat_Illness/page397.html,Not available,Symptoms & Environmental Conditions,Government clinical guidance,N/A (public health guidance),Heat exhaustion warning signs; progression risk to heat stroke,"Heat exhaustion signs: heavy sweating, paleness, muscle cramps, tiredness, weakness, dizziness, headache, nausea/vomiting, fainting, cool/moist skin, fast/weak pulse, fast/shallow breathing","Public health guidance document, not a primary research study; general population guidance, not individualized risk stratification",Authoritative CDC symptom checklist for heat exhaustion — directly usable as the canonical symptom list for SwasthyaSathi's heat-related symptom-matching logic.,heat exhaustion; CDC; symptom recognition; public health guidance
S09,"Short-term environmental nitrogen dioxide exposure and neurology clinic visits for headaches, a time-series study in Wuhan, China",Not available,Not available,Not available,Not available,https://pmc.ncbi.nlm.nih.gov/articles/PMC10161479/,Not available,Symptoms & Environmental Conditions,Time-series observational study,"11,436 neurology clinic visit records, Wuhan, China, Jan 2017-Nov 2019",Ambient NO2 concentration; neurology clinic visits for headache,"A 10 µg/m3 increase in NO2 corresponded to a 3.64% increase in daily headache-related neurology clinic visits (95% CI 1.02-6.32%, p=0.006)",Single-city (China) ecological time-series design cannot establish individual-level causation; unmeasured co-pollutants/weather confounders possible,Quantifies a modest but statistically significant association between short-term NO2 spikes and headache-related clinic visits — supports (with appropriate caveats) linking AQI/NO2 alerts to headache-symptom risk flags.,nitrogen dioxide; headache; time-series; air pollution; clinic visits
D01,Accuracy of Triage Systems in Disasters and Mass Casualty Incidents; a Systematic Review,Jafar Bazyar; Mehrdad Farrokhi; Amir Salari; Hamid Safarpour; Hamid Reza Khankeh,2022,Advanced Journal of Emergency Medicine,10.22037/aaem.v10i1.1526,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9078064/,https://pubmed.ncbi.nlm.nih.gov/35573710/,Disaster Health Management,Systematic review,"Global triage systems (START, mSTART, SALT, Smart, CareFlight, ASAV, MPTT, Sieve, ESI)","Triage system type; accuracy, sensitivity, specificity in disasters/mass casualty incidents","Most triage systems (START, mSTART, SALT, Smart, CareFlight, ASAV, MPTT, Sieve, ESI) had accuracy/sensitivity/specificity below 90%; only the 'Smart' system exceeded 90% overall accuracy",English-language studies only; substantial variability in how 'accuracy' was measured across included studies,Establishes that even standard disaster mass-casualty triage systems have imperfect accuracy (mostly <90%) — important context for SwasthyaSathi's SOS/triage feature to avoid overclaiming precision in emergency prioritization.,mass casualty triage; disaster medicine; START; SALT; accuracy
D02,Accuracy and Timeliness of Prehospital Global Triage System Protocols in Mass Disasters: A Systematic Review of Systematic Reviews,Not available,2025,Cureus,Not available,https://www.cureus.com/articles/412519-accuracy-and-timeliness-of-prehospital-global-triage-system-protocols-in-mass-disasters-a-systematic-review-of-systematic-reviews,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12539015/,Disaster Health Management,Systematic review of systematic reviews (PRISMA 2020),4 eligible studies (of 344 records) up to June 2025,"START, JumpSTART, SALT, MPTT protocols; AI-assisted triage; portable ultrasound diagnostic adjuncts","Reviews conventional triage protocols alongside emerging AI-assisted triage approaches and diagnostic adjuncts (e.g., portable ultrasound) for mass-disaster prehospital settings",Very few (4) eligible primary systematic reviews found; AI-assisted triage evidence base still nascent,"Most recent (2025) umbrella review noting that AI-assisted triage tools are emerging alongside classic protocols like START/SALT, but the evidence base remains limited — relevant precedent for SwasthyaSathi's own AI-assisted SOS/triage ambitions.",prehospital triage; mass disaster; AI-assisted triage; umbrella review
D03,Management of mass casualty incidents: a systematic review and clinical practice guideline update,Not available,2025,European Journal of Trauma and Emergency Surgery,Not available,https://link.springer.com/article/10.1007/s00068-024-02727-0,Not available,Disaster Health Management,Systematic review and clinical practice guideline (German national guideline update),"RCTs, cross-sectional, cohort and registry studies, MEDLINE/Embase to August 2021",Triage algorithms; MCI training; logistics/transport; decontamination; diagnosis/therapy in MCI settings,Key recommendation: triage quality improves with in-house exercises/virtual training using verified triage systems and algorithms,Guideline developed for German trauma-care context; applicability to India's disaster-response infrastructure not directly assessed,"Clinical practice guideline emphasizing that regular training on verified triage protocols — not just the protocol itself — is what improves mass-casualty triage quality; relevant to how SwasthyaSathi's SOS guidance should be framed as a complement to, not replacement for, trained responders.",mass casualty incident; clinical practice guideline; triage training
D04,Floods and human health: A systematic review,Not available,2012,Environment International (per ScienceDirect metadata),Not available,https://www.sciencedirect.com/science/article/abs/pii/S0160412012001237,Not available,Disaster Health Management,Systematic mapping review,"83 papers (of 1,331 screened), PubMed and Web of Science, 1994-2014","Flood exposure; mental health outcomes (PTSD, depression, anxiety); disease outbreaks","Increased risk of disease outbreaks (hepatitis E, gastrointestinal disease, leptospirosis) post-flood, particularly with poor hygiene/displacement; flood exposure systematically associated with mental health problems, though causal strength limited by lack of longitudinal data",Authors explicitly note the 'paucity of longitudinal studies and lack of confounding controls precludes strong conclusions' on mental health causality,"Landmark systematic review establishing flood-related infectious disease risks (leptospirosis, hepatitis E, GI disease) as well-supported, while flagging that flood-mental-health links, though consistent, lack strong causal evidence — a key 'do not overclaim causation' example.",flood; infectious disease; mental health; leptospirosis; systematic review
D05,Mortality and morbidity risks associated with floods: A systematic review and meta-analysis,Not available,2024,Not available,Not available,https://www.sciencedirect.com/science/article/pii/S0013935124021704,Not available,Disaster Health Management,Systematic review and meta-analysis,Global flood-exposed populations,"Flood exposure; all-cause mortality; gastrointestinal disease, diarrhea, dysentery, malaria, respiratory disease morbidity","Flood exposure associated with elevated risk of all-cause mortality and morbidity from GI diseases, diarrhea, dysentery, malaria, and respiratory disease","Authors note studies remain scarce in most countries/territories, limiting global generalizability","Quantifies the specific disease categories (GI illness, malaria, respiratory disease) elevated after flooding — useful for structuring post-flood health advisories in SwasthyaSathi's disaster module.",flood; mortality; morbidity; malaria; gastrointestinal disease
D06,Human impacts of flood disasters: A global systematic review (1980-2025),Not available,2026,Not available,Not available,https://www.sciencedirect.com/science/article/pii/S261665182600165X,Not available,Disaster Health Management,Global systematic review,"Global, 1980-2025",Flood exposure; mortality; injury; displacement; disease risk; mental health; livelihood disruption,"Mental health impacts (PTSD, depression, anxiety, grief) persisted for months/years post-flood; vulnerability highest among children, older adults, and socially isolated groups","Vulnerable subgroups such as migrants, linguistic minorities, and homeless populations rarely addressed in primary literature","Most recent and comprehensive (45-year) global review confirming flood mental-health impacts can persist for months to years, and identifying children, elderly and socially isolated people as consistently highest-risk groups.",flood; mental health; PTSD; vulnerability; global review
D07,Health Risks of Flood Disasters,Not available,2018,Clinical Infectious Diseases,Not available,https://academic.oup.com/cid/article/67/9/1450/4945455,Not available,Disaster Health Management,Narrative clinical review,Synthesis of post-flood case reports/studies,Respiratory infection; aspiration pneumonia; gastroenteritis; skin/soft-tissue infection post-flood,Acute respiratory infection was the most common infectious disease requiring consultation after flooding in US/UK reports; floodwater aspiration can cause pneumonia complicated by pulmonary necrosis/abscess,Narrative review drawing on disparate case series across different countries and flood events,"Clinical detail on the specific infection types (respiratory, aspiration pneumonia, GI, skin) that commonly follow flood exposure — useful for post-flood advisory content in the disaster module.",flood; respiratory infection; aspiration pneumonia; clinical review
D08,Mental Health Disorders Due to Disaster Exposure: A Systematic Review and Meta-Analysis,Not available,Not available,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10153020/,Not available,Disaster Health Management,Systematic review and meta-analysis,"Storms (5,151 affected), floods (38,456 affected), earthquakes (4,563 affected) across included studies","Disaster type (flood, storm/cyclone, earthquake); GAD, depression, PTSD, substance use, adjustment disorder prevalence","Pooled effect estimates: flood 0.07, storm/cyclone 0.18, earthquake 0.15 (all statistically significant, p<0.05) for mental health disorder prevalence; overall pooled effect size was small (0.129)",Wide prevalence ranges across included studies (5.8%-87.6%) indicate high heterogeneity; overall pooled effect size is small despite statistical significance,"Quantitative synthesis giving disaster-type-specific mental health impact estimates (storms > earthquakes > floods in this analysis) — useful for calibrating expected psychological impact by disaster type, while noting the overall pooled effect is modest.",disaster mental health; PTSD; earthquake; flood; cyclone; meta-analysis
AI01,"Benchmarking retrieval-augmented large language models in biomedical NLP: Application, robustness, and self-awareness",Mingchen Li; Zaifu Zhan; Han Yang; Yongkang Xiao; Huixue Zhou; Jiatan Huang; Rui Zhang,2025,Science Advances,10.1126/sciadv.adr1443,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12637297/,Not available,AI in Healthcare,Benchmarking study,N/A (model benchmarking),Retrieval-augmented LLMs (RALs); biomedical NLP tasks; robustness; self-awareness (knowing when not to answer),"RALs can reduce hallucination and improve adaptation to new knowledge versus standalone LLMs, but performance on biomedical NLP tasks specifically remained underexplored prior to this benchmark","Benchmarking study on NLP tasks, not a clinical deployment/outcomes study","Peer-reviewed benchmark (Science Advances) establishing that retrieval-augmented LLMs can reduce hallucination in biomedical NLP, directly supporting SwasthyaSathi's own RAG-based architecture choice — but performance is task-dependent, not universally guaranteed.",retrieval-augmented generation; biomedical NLP; hallucination; benchmarking
AI02,MEGA-RAG: a retrieval-augmented generation framework with multi-evidence guided answer refinement for mitigating hallucinations of LLMs in public health,Not available,Not available,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12540348/,Not available,AI in Healthcare,Framework development and evaluation study,N/A (system evaluation vs baselines),"Multi-source evidence retrieval (dense + BM25 + knowledge graph); hallucination rate; accuracy, precision, recall, F1","MEGA-RAG reduced hallucination rates by over 40% versus baseline models (PubMedBERT, PubMedGPT, standalone LLM, standard RAG), achieving accuracy 0.79, F1 0.79",Evaluated on the authors' own benchmark; real-world public-health deployment validation not yet reported,Directly relevant public-health-specific RAG architecture showing a >40% hallucination reduction versus standard RAG — a concrete design pattern (multi-source retrieval + reranking + discrepancy-aware refinement) SwasthyaSathi could emulate.,RAG; hallucination reduction; public health; knowledge graph; LLM
AI03,Optimization of hepatological clinical guidelines interpretation by large language models: a retrieval augmented generation-based framework,Simone Kresevic; Mauro Giuffrè; Milos Ajcevic; Agostino Accardo; Lory S. Crocè; Dennis L. Shung,2024,npj Digital Medicine,10.1038/s41746-024-01091-y,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11039454/,Not available,AI in Healthcare,Framework development with ablation study,N/A (guideline-QA framework),RAG + prompt engineering; guideline formatting strategies; answer-generation accuracy for Hepatitis C management guidelines,RAG-based framework with structured guideline formatting improved answer accuracy for clinical guideline interpretation vs baseline LLM use,"Single disease domain (Hepatitis C); ablation study on formatting, not a full clinical deployment trial",Concrete example of RAG improving accuracy when LLMs interpret structured clinical guidelines — supports SwasthyaSathi's approach of grounding advice in structured knowledge-base documents rather than free LLM generation.,RAG; clinical guidelines; LLM; hepatology; prompt engineering
AI04,Representation Before Retrieval: Structured Patient Artifacts Reduce Hallucination in Clinical AI Systems,Not available,2026,"medRxiv (preprint, not yet peer-reviewed)",Not available,https://www.medrxiv.org/content/10.64898/2026.02.13.26346256v1.full,Not available,AI in Healthcare,Comparative system evaluation (preprint),N/A (system comparison across 4 conditions),Baseline LLM; standard RAG; artifact-augmented generation; multi-step verified agent workflow,"Standard RAG over raw clinical text INCREASED hallucination nearly 9-fold versus baseline in this study — contradicting the common assumption that RAG always reduces hallucination; structured, provenance-tracked representations performed much better",PREPRINT — not yet peer-reviewed; findings specific to clinical-text RAG implementations and may not generalize to all RAG architectures,"Critical caution for SwasthyaSathi's own architecture: this (preprint, unreviewed) study found that naive RAG over raw text can dramatically INCREASE hallucination versus no retrieval at all — the quality/structure of retrieved knowledge (not just retrieval itself) determines reliability, so knowledge-base curation matters more than a simple retrieval pipeline.",RAG; hallucination; clinical AI; preprint; structured data
AI05,Triage and Diagnostic Accuracy of Online Symptom Checkers: Systematic Review,Eva Riboli-Sasco; Austen El-Osta; Aos Alaa; Iman Webber; Manisha Karki; Marie Line El Asmar; Katie Purohit; Annabelle Painter; Benedict Hayhoe,2023,Journal of Medical Internet Research (JMIR),10.2196/43803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10276326/,Not available,AI in Healthcare,Systematic review,"14 studies of 21,296 screened, 2010-2022",Online symptom checker (OSC) triage accuracy; diagnostic accuracy,Evidence on OSC triage/diagnostic accuracy remains inconclusive overall; accuracy varies substantially by tool and condition type,"Only 14 of 21,296 identified studies met strict inclusion criteria, reflecting a thin evidence base","Systematic review confirming that online symptom checkers (a category SwasthyaSathi partly resembles) have inconclusive, tool-dependent accuracy — reinforces the need for conservative, non-diagnostic framing of any AI symptom guidance.",symptom checker; triage accuracy; diagnostic accuracy; systematic review
AI06,The diagnostic and triage accuracy of digital and online symptom checker tools: a systematic review,Not available,2022,npj Digital Medicine,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9385087/,Not available,AI in Healthcare,Systematic review (QUADAS-2 quality assessment),10 studies of 177 screened,Symptom checker primary diagnostic accuracy; triage accuracy,Primary diagnostic accuracy was low (range 19-37.9%) across included symptom checkers; triage accuracy was higher but still variable (48.8-90.1%),"Small number of eligible studies (10); tools and conditions tested were heterogeneous, limiting generalizable accuracy claims",Concrete quantitative evidence that standalone symptom-checker diagnostic accuracy can be as low as 19-37.9% — a strong caution against SwasthyaSathi presenting any AI-generated 'diagnosis' as reliable; triage-level guidance is comparatively more defensible.,symptom checker; diagnostic accuracy; triage; QUADAS-2
AI07,Effect of Clinical Decision-Support Systems: A Systematic Review,Not available,2012,Annals of Internal Medicine,Not available,https://www.acpjournals.org/doi/10.7326/0003-4819-157-1-201207030-00450,Not available,AI in Healthcare,Systematic review of randomized controlled trials,"RCTs of electronic CDSS through Jan 2011 (MEDLINE, CINAHL, PsycINFO, Web of Science)",CDSS use; clinical outcomes; health-care process; workload/efficiency; patient satisfaction; cost,"Evidence to support widespread clinical benefit of CDSS was found to be limited overall despite growing use, per this landmark systematic review",Effect on hard clinical outcomes (not just process measures) was inconsistently demonstrated across included RCTs,"Landmark, widely-cited systematic review establishing that clinical decision-support systems, despite widespread adoption, had limited proven impact on hard clinical outcomes as of the early 2010s — a sobering evidence baseline against which newer AI-CDSS claims (including SwasthyaSathi's) should be measured.",clinical decision support system; CDSS; systematic review; RCT
AI08,A systematic review on the effectiveness and impact of clinical decision support systems for breathlessness,Not available,2022,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9392800/,Not available,AI in Healthcare,Systematic review (PROSPERO CRD42020163141),"37 studies (30 RCTs), 2000-2021",CDSS for breathlessness; patient health outcomes; provider use; diagnostic concordance; economic evaluation,Reviews CDSS impact specifically on breathlessness/respiratory-symptom management across primary care and ED settings,"Mixed evidence quality; outcome types varied widely across the 37 included studies, limiting a single pooled effect conclusion","Symptom-specific (breathlessness) CDSS evidence review, directly relevant to how SwasthyaSathi should evaluate its own respiratory-symptom decision logic against a body of prior CDSS research.",clinical decision support; breathlessness; respiratory symptoms; systematic review
W01,"Edge AI and TinyML in IoT Systems: A Review of Applications, Architectures and Limitations",Not available,2026,Not available,Not available,https://www.researchgate.net/publication/408419857_Edge_AI_and_TinyML_in_IoT_Systems_A_Review_of_Applications_Architectures_and_Limitations,Not available,Wearables & Remote Health Monitoring,Technical literature review,N/A (technology review),"Edge AI; TinyML; IoT architectures; health monitoring, wearables, environmental monitoring applications","TinyML enables on-device movement classification, fall detection, and basic heart-rhythm/anomaly detection without transmitting raw sensitive health data to the cloud, improving privacy, latency, and energy efficiency",Review of the technology field broadly; specific accuracy/reliability figures for health applications not detailed in this source,"Foundational technical review directly supporting SwasthyaSathi's stated offline-first, on-device TinyML/TensorFlow Lite architecture — confirms this is an established, credible approach for privacy-preserving health monitoring, not a novel/unproven concept.",TinyML; edge AI; IoT; wearables; privacy; on-device inference
W02,A REVIEW ON EDGE AI FOR LOW-LATENCY HEALTH MONITORING IN WEARABLE IOT DEVICES: CHALLENGES AND FUTURE DIRECTIONS,Not available,2025,Not available,Not available,https://www.researchgate.net/publication/394508944_A_REVIEW_ON_EDGE_AI_FOR_LOW-LATENCY_HEALTH_MONITORING_IN_WEARABLE_IOT_DEVICES_CHALLENGES_AND_FUTURE_DIRECTIONS,Not available,Wearables & Remote Health Monitoring,Technical literature review,N/A (technology review),Cloud-edge AI frameworks; Internet of Medical Things (IoMT); federated learning for medical big data,Reviews cloud-edge AI hybrid frameworks and federated learning approaches for enabling real-time diagnostic feedback while preserving data security in IoMT wearables,Broad review with limited quantitative performance benchmarks for any single application,Reviews federated learning and cloud-edge hybrid architectures for wearable health monitoring — directly relevant to SwasthyaSathi's stated Federated Learning (Flower Framework) privacy protocol.,edge AI; IoMT; federated learning; low-latency health monitoring
W03,Machine edge-aware IoT framework for real-time health monitoring: Sensor fusion and AI-driven emergency response in decentralized networks,Not available,2025,Not available,Not available,https://www.sciencedirect.com/science/article/pii/S1110016825009263,Not available,Wearables & Remote Health Monitoring,System design and implementation study,N/A (hardware/system prototype),"ECG, SpO2, accelerometer, temperature sensor fusion; TinyML anomaly detection; BLE 5.0 mesh networking",AI-based decision logic achieved processing latency <100ms for emergent-event detection; BLE 5.0 mesh network provided decentralized redundancy for emergency communication without relying on constant cloud connectivity,System/engineering demonstration; clinical validation of emergency-detection accuracy not detailed in this source,"Closely analogous system architecture to SwasthyaSathi's own design (sensor fusion + TinyML + decentralized/offline mesh alerting), demonstrating sub-100ms on-device anomaly detection is achievable — a useful technical benchmark/precedent.",sensor fusion; TinyML; BLE mesh network; emergency response; decentralized IoT
W04,Reliable ECG Anomaly Detection on Edge Devices for Internet of Medical Things Applications,Not available,2025,Sensors,10.3390/s25082496,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12031393/,Not available,Wearables & Remote Health Monitoring,System development and evaluation study,N/A (embedded system evaluation),TinyML-based ECG anomaly/arrhythmia detection on resource-constrained microcontrollers,"Demonstrates feasibility of robust, real-time ECG anomaly detection running entirely on low-power embedded devices without cloud dependency",Peer-reviewed but technology/engineering-focused; clinical sensitivity/specificity for specific arrhythmia types not detailed in the retrieved excerpt,Peer-reviewed (Sensors journal) demonstration of on-device TinyML ECG anomaly detection — directly supports the technical feasibility of SwasthyaSathi's edge-AI cardiac monitoring claims.,ECG; TinyML; edge AI; IoMT; anomaly detection
R01,Heat stress in older individuals and patients with common chronic diseases,Not available,2010 (original); updated version 2026,CMAJ (Canadian Medical Association Journal),Not available,https://www.cmaj.ca/content/182/10/1053,Not available,Personalized Health & Risk Assessment,Clinical review,"Adults >60 years and patients with obesity, hypertension, cardiovascular/pulmonary disease, diabetes","Age; chronic disease status; heat-related illness risk (cramps, exhaustion, heat stroke)","Age over 60, obesity, hypertension, cardiovascular/pulmonary disease, and long-standing diabetes each independently increase heat-related illness risk; homebound lifestyle and reduced mobility are compounding factors","Narrative clinical review, not a quantitative meta-analysis; risk-factor list is not exhaustive nor individually weighted","Core clinical reference for defining SwasthyaSathi's chronic-disease and age-based risk multipliers for heat exposure — foundational to personalization logic, though it is a narrative synthesis rather than pooled statistical evidence.",heat stress; chronic disease; elderly; obesity; diabetes; cardiovascular disease
R02,Physiological factors characterizing heat-vulnerable older adults: A narrative review,Not available,2020,Not available,Not available,https://www.sciencedirect.com/science/article/pii/S016041202031864X,Not available,Personalized Health & Risk Assessment,Narrative review,"Older adults with cardiovascular disease, hypertension, obesity, type 2 diabetes, chronic kidney disease","Age-related physiological dysfunction (thermoregulation, hemodynamic stability, hydration status); heat-related acute events (heatstroke, cardiovascular events, acute kidney injury)","Summarizes mechanisms by which aging impairs thermoregulation, hemodynamic stability and hydration status, elevating risk of heatstroke, major cardiovascular events, and acute kidney injury during heatwaves",Narrative (non-systematic) synthesis of mechanistic literature; does not provide pooled quantitative risk estimates,"Provides the physiological mechanism (not just epidemiological correlation) linking aging to heat vulnerability across three distinct pathways — thermoregulation, cardiovascular, and renal — useful for explaining WHY elderly users receive elevated risk scores, not just flagging that they do.",older adults; thermoregulation; heat vulnerability; cardiovascular disease; kidney injury
R03,Aging and Thermoregulatory Control: The Clinical Implications of Exercising under Heat Stress in Older Individuals,Not available,Not available,Not available,Not available,https://pmc.ncbi.nlm.nih.gov/articles/PMC6098859/,Not available,Personalized Health & Risk Assessment,Narrative clinical review,"Older individuals, including those with chronic heart/lung disease",Sweating response; skin blood flow (SkBF); age-related thermoregulatory impairment,"Aging is associated with attenuated sweating and SkBF responses to heat, elevating heat-illness risk especially during physical activity",Mechanistic review; individual variability in aging-related decline not quantified,Mechanistic evidence that reduced sweating/skin-blood-flow responses (not just 'being older' as a category) drive elevated heat-illness risk in aging — supports physiologically-grounded (not purely age-bracket-based) personalization.,thermoregulation; aging; sweating; skin blood flow; heat illness
R04,Unveiling heat vulnerability of older adults: an assessment of emergency hospital admissions in Switzerland,Not available,2026,International Journal of Epidemiology,Not available,https://academic.oup.com/ije/article/55/2/dyag044/8627096,Not available,Personalized Health & Risk Assessment,Retrospective cohort/administrative data analysis,"Older adults, Switzerland, emergency hospital admissions (EHA)","Sex; pre-existing conditions (cancer, COPD, coronary heart disease, anxiety, dementia); heat-related EHA risk",Distinct sex-specific vulnerability profiles found: males with cardiovascular burden and females with cognitive impairment showed elevated heat-EHA risk; risk patterns also varied by combination of pre-existing condition and admission diagnosis,Switzerland-specific population and healthcare-admission patterns; generalizability to India's demographic/climate context not established,"Sophisticated 2026 analysis showing heat vulnerability is not just 'age' but a specific combination of sex and pre-existing condition (e.g., male+cardiovascular vs. female+cognitive impairment) — supports more nuanced, multi-factor personalization rather than single-variable age/sex risk flags.",heat vulnerability; sex differences; emergency admissions; comorbidity; elderly
R05,Factors associated with older adults' perception of health risks of hot and cold weather event exposure: A scoping review,Not available,Not available,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9686383/,Not available,Personalized Health & Risk Assessment,Scoping review,Older adults,"Risk perception factors: knowledge, comorbidity, self-identity, weather-severity perception, regional climate beliefs, past experience, protective-behavior misconceptions, locus of control","31% of individuals with a heart condition and 28% with a lung condition did NOT perceive themselves as at risk from heatwaves, despite objectively elevated risk",Scoping review format identifies themes but does not quantify pooled prevalence across all included studies,"Critical behavioral-science finding: many high-risk elderly individuals with heart/lung conditions underestimate their own heat risk — strongly supports the value of an automated, objective early-warning system like SwasthyaSathi rather than relying on self-perceived risk.",risk perception; older adults; heatwave; behavioral factors; comorbidity
R06,Pediatric Thermoregulation: Considerations in the Face of Global Climate Change,Not available,2019,Nutrients,10.3390/nu11092010,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6770410/,Not available,Personalized Health & Risk Assessment,Narrative review,Infants and children,Sweat rate; core temperature response; hydration status; thermoregulatory capability,"Accumulating evidence counters the historical assumption that children have categorically inferior thermoregulation; differences from adults are limited during mild/moderate heat, with elevated risk emerging mainly at environmental extremes",Narrative review; evidence base described as still evolving with some contradicting findings across cited studies,"Important nuance-correction: children are NOT uniformly more heat-vulnerable than adults under all conditions — risk is concentrated at environmental extremes and modifiable factors (hydration, clothing) — so SwasthyaSathi should avoid a blanket 'children are always higher risk' rule.",pediatric thermoregulation; children; climate change; heat illness
R07,"The Influence of Heat on Pediatric and Perinatal Health: Risks, Evidence, and Future Directions",Not available,Not available,Not available,Not available,https://pmc.ncbi.nlm.nih.gov/articles/PMC11856792/,Not available,Personalized Health & Risk Assessment,Narrative review,Children and perinatal populations,Sweat rate; body surface area-to-mass ratio; core temperature; heart rate,"Children (especially youngest) exhibit higher core temperatures, higher heart rates, and lower sweat rates than adults during physical activity in heat; higher body-surface-area-to-mass ratio increases heat-gain risk when air temperature exceeds skin temperature","Regional differences in climate, socioeconomic factors and healthcare access complicate global generalization of risk patterns","Provides the physiological mechanism for pediatric heat vulnerability (surface-area-to-mass ratio, sweat rate) specifically for the youngest children, complementing R06's more nuanced finding that risk isn't uniform across all children.",pediatric heat health; perinatal; thermoregulation; body surface area
R08,Narrative Review on Infants' Thermoregulatory Response to Heat,Not available,Not available,Not available,Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12386404/,Not available,Personalized Health & Risk Assessment,Narrative review,Infants,Thermoregulatory mechanisms; sweat gland maturity; caregiver dependency,"Literature is genuinely mixed: some researchers find infant thermoregulation immature/underdeveloped (especially prepubertal sweat mechanisms), while others argue this is a common misconception true mainly for preterm infants only",Authors explicitly note conflicting positions in the literature — no clear consensus on the degree of infant thermoregulatory immaturity for term infants,Explicitly documents a genuine scientific disagreement about infant heat vulnerability (term vs. preterm) — an example of evidence SwasthyaSathi should present cautiously rather than as settled fact.,infant thermoregulation; preterm; heat vulnerability; conflicting evidence
